v АК,v ЦН,I nm
0.7505527638190954,0.32633165829145727,528.5819000000001
0.7568844221105526,0.32633165829145727,528.6079250000001
0.7632160804020099,0.32633165829145727,528.6079250000001
0.7695477386934673,0.32633165829145727,528.6252750000001
0.7758793969849245,0.32633165829145727,528.6252750000001
0.7822110552763818,0.32633165829145727,528.6513000000002
0.7885427135678391,0.32633165829145727,528.6686500000002
0.7948743718592963,0.32633165829145727,528.6860000000003
0.8012060301507536,0.32633165829145727,528.6860000000003
0.807537688442211,0.32633165829145727,528.6860000000003
0.8138693467336682,0.32633165829145727,528.6860000000003
0.8202010050251256,0.32633165829145727,528.6860000000003
0.8265326633165828,0.32633165829145727,528.6860000000003
0.83286432160804,0.32633165829145727,528.6860000000003
0.8391959798994975,0.32633165829145727,528.6860000000003
0.8455276381909547,0.32633165829145727,528.6860000000003
0.8518592964824119,0.32633165829145727,528.6860000000003
